요금제명,입실,퇴실,이용,위치,금액,구분,고객
시간요금제(1시간),2022-04-01 23:39,2022-04-02 0:39,오전 1:00:00,선불기2,3000,퇴실,customer263717
시간요금제(1시간),2022-04-01 23:39,2022-04-02 0:39,오전 1:00:00,선불기2,3000,퇴실,customer263717
무제한 입장권,2022-04-01 20:55,2022-04-01 21:41,오전 12:46:00,선불기2,7400,퇴실,customer247263
무제한 입장권,2022-04-01 20:55,2022-04-01 21:41,오전 12:46:00,선불기2,7400,퇴실,customer247263
한국대생 무제한 입장권,2022-04-01 19:54,2022-04-01 22:28,오전 2:33:00,선불기2,7400,퇴실,customer388928
한국대생 무제한 입장권,2022-04-01 19:54,2022-04-01 22:28,오전 2:33:00,선불기2,7400,퇴실,customer388928
한국대생 무제한 입장권,2022-04-01 19:54,2022-04-01 22:28,오전 2:33:00,선불기2,7400,퇴실,customer388928
한국대생 무제한 입장권,2022-04-01 19:32,2022-04-01 22:28,오전 2:56:00,선불기2,6400,퇴실,customer498538
한국대생 무제한 입장권,2022-04-01 19:32,2022-04-01 22:28,오전 2:56:00,선불기2,6400,퇴실,customer498538
한국대생 무제한 입장권,2022-04-01 19:32,2022-04-01 22:28,오전 2:56:00,선불기2,6400,퇴실,customer498538
한국대생 무제한 입장권,2022-04-01 19:32,2022-04-01 22:28,오전 2:56:00,선불기2,6400,퇴실,customer498538
한국대생 무제한 입장권,2022-04-01 18:46,2022-04-01 21:38,오전 2:52:00,선불기2,6400,퇴실,customer899296
한국대생 무제한 입장권,2022-04-01 18:46,2022-04-01 21:38,오전 2:52:00,선불기2,6400,퇴실,customer899296
한국대생 무제한 입장권,2022-04-01 18:10,2022-04-01 21:59,오전 3:49:00,선불기2,6900,퇴실,customer401162
무제한 입장권,2022-04-01 18:09,2022-04-01 21:59,오전 3:50:00,선불기2,8400,퇴실,customer228414
기간권,2022-04-01 17:57,2022-04-02 2:00,오전 8:03:00,선불기2,0,퇴실,customer300766
한국대생 무제한 입장권,2022-04-01 16:54,2022-04-02 4:55,오후 12:01:00,선불기2,6400,퇴실,customer275507
한국대생 무제한 입장권,2022-04-01 16:54,2022-04-02 4:55,오후 12:01:00,선불기2,7400,퇴실,customer275507
한국대생 무제한 입장권,2022-04-01 16:54,2022-04-02 4:55,오후 12:01:00,선불기2,6400,퇴실,customer275507
시간요금제(1시간),2022-04-01 16:26,2022-04-01 16:55,오전 12:29:00,선불기2,3000,퇴실,customer909486
한국대생 무제한 입장권,2022-04-01 15:49,2022-04-01 16:55,오전 1:06:00,선불기2,6900,퇴실,customer931667
한국대생 무제한 입장권,2022-04-01 15:45,2022-04-01 18:03,오전 2:18:00,선불기2,8400,퇴실,customer404169
한국대생 무제한 입장권,2022-04-01 15:45,2022-04-01 18:03,오전 2:18:00,선불기2,6400,퇴실,customer404169
무제한 입장권,2022-04-01 15:23,2022-04-01 17:28,오전 2:05:00,선불기2,8900,퇴실,customer472159
무제한 입장권,2022-04-01 15:23,2022-04-01 17:28,오전 2:05:00,선불기2,8400,퇴실,customer472159
시간요금제(3시간),2022-04-01 14:43,2022-04-01 18:24,오전 3:40:00,선불기2,8000,퇴실,customer522837
한국대생 무제한 입장권,2022-04-01 14:39,2022-04-01 18:38,오전 3:59:00,선불기2,6400,퇴실,customer953908
한국대생 무제한 입장권,2022-04-01 14:29,2022-04-01 15:34,오전 1:05:00,선불기2,7900,퇴실,customer515913
한국대생 무제한 입장권,2022-04-01 14:12,2022-04-01 17:01,오전 2:49:00,선불기2,7900,퇴실,customer654178
한국대생 무제한 입장권,2022-04-01 14:12,2022-04-01 17:01,오전 2:49:00,선불기2,6900,퇴실,customer654178
한국대생 무제한 입장권,2022-04-01 13:58,2022-04-01 17:49,오전 3:51:00,선불기2,6400,퇴실,customer662269
한국대생 무제한 입장권,2022-04-01 13:58,2022-04-01 17:49,오전 3:51:00,선불기2,6400,퇴실,customer662269
한국대생 무제한 입장권,2022-04-01 13:58,2022-04-01 17:49,오전 3:51:00,선불기2,6400,퇴실,customer662269
한국대생 무제한 입장권,2022-04-01 13:52,2022-04-01 15:35,오전 1:43:00,선불기2,6900,퇴실,customer838150
한국대생 무제한 입장권,2022-04-01 13:52,2022-04-01 15:35,오전 1:43:00,선불기2,6900,퇴실,customer838150
한국대생 무제한 입장권,2022-04-01 13:20,2022-04-01 16:06,오전 2:46:00,선불기2,7400,퇴실,customer223973
한국대생 무제한 입장권,2022-04-01 13:20,2022-04-01 16:06,오전 2:46:00,선불기2,7900,퇴실,customer223973
한국대생 무제한 입장권,2022-04-01 13:20,2022-04-01 16:06,오전 2:46:00,선불기2,8400,퇴실,customer223973
한국대생 무제한 입장권,2022-04-01 13:11,2022-04-01 16:15,오전 3:04:00,선불기2,6400,퇴실,customer417139
한국대생 무제한 입장권,2022-04-01 13:11,2022-04-01 16:15,오전 3:04:00,선불기2,7400,퇴실,customer417139
한국대생 무제한 입장권,2022-04-01 13:08,2022-04-01 17:56,오전 4:47:00,선불기2,7900,퇴실,customer233713
무제한 입장권,2022-04-01 12:57,2022-04-01 16:37,오전 3:40:00,선불기2,6900,퇴실,customer255068
한국대생 무제한 입장권,2022-04-01 12:57,2022-04-01 16:37,오전 3:40:00,선불기2,6900,퇴실,customer255068
기간권,2022-04-01 12:24,2022-04-01 18:09,오전 5:45:00,선불기2,0,퇴실,customer827023
한국대생 무제한 입장권,2022-04-01 12:15,2022-04-01 17:38,오전 5:23:00,선불기2,7400,퇴실,customer630809
한국대생 무제한 입장권,2022-04-01 12:03,2022-04-01 13:50,오전 1:47:00,선불기2,6900,퇴실,customer207319
한국대생 무제한 입장권,2022-04-01 12:03,2022-04-01 13:50,오전 1:47:00,선불기2,6900,퇴실,customer207319
한국대생 무제한 입장권,2022-04-01 11:58,2022-04-01 18:35,오전 6:37:00,선불기2,7900,퇴실,customer977070
한국대생 무제한 입장권,2022-04-01 11:07,2022-04-01 13:34,오전 2:27:00,선불기2,6400,퇴실,customer830399
한국대생 무제한 입장권,2022-04-01 11:07,2022-04-01 13:34,오전 2:27:00,선불기2,6900,퇴실,customer830399
기간권,2022-04-01 8:56,2022-04-01 18:05,오전 9:09:00,선불기2,0,퇴실,customer392176
심야-조조무제한,2022-03-31 22:35,2022-04-01 6:06,오전 7:31:00,선불기2,6000,퇴실,customer847542
심야-조조무제한,2022-03-31 22:01,2022-04-01 0:33,오전 2:32:00,선불기1,6000,퇴실,customer874765
한국대생 무제한 입장권,2022-03-31 20:41,2022-04-01 1:45,오전 5:04:00,선불기2,6400,퇴실,customer761560
한국대생 무제한 입장권,2022-03-31 20:41,2022-04-01 1:45,오전 5:04:00,선불기2,6400,퇴실,customer761560
한국대생 무제한 입장권,2022-03-31 19:10,2022-04-01 1:15,오전 6:05:00,선불기2,6900,퇴실,customer851838
