결제일시,판매위치,상품명,결제방식,비고,판매수량,결제금액,고객
2022-04-01 19:41,선불기1,치킨카라아케 6pc,신용카드,결제완료,1,"4,500",customer275507
2022-04-01 19:41,선불기1,짜장라면(계란추가),신용카드,결제완료,1,"5,500",customer275507
2022-04-01 19:41,선불기1,라면,신용카드,결제완료,1,"4,000",customer275507
2022-04-01 19:41,선불기1,비엔나소세지(토핑),신용카드,결제완료,1,"1,000",customer275507
2022-04-01 19:41,선불기1,라면(계란/치즈추가),신용카드,결제완료,1,"5,000",customer275507
2022-04-01 16:32,선불기1,라면,신용카드,결제완료,1,"4,000",customer977070
2022-04-01 16:32,선불기1,소떡소떡,신용카드,결제완료,1,"3,000",customer977070
2022-04-01 15:19,선불기1,아이스티,신용카드,결제완료,1,"3,900",customer630809
2022-04-01 13:01,선불기1,순살닭다리덮밥,신용카드,결제완료,1,"8,000",customer255068
2022-04-01 13:01,선불기1,만두라면,신용카드,결제완료,1,"5,000",customer255068
2022-04-01 13:01,선불기1,(면)계란추가-국물라면,신용카드,결제완료,1,500,customer255068
2022-04-01 12:03,선불기1,크로플,신용카드,결제완료,1,"5,500",customer977070
2022-03-31 20:54,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer264394
2022-03-31 15:36,선불기1,쿠앤크쉐이크,신용카드,결제완료,1,"5,900",customer490619
2022-03-31 15:36,선불기1,치즈케이크,신용카드,결제완료,1,"4,000",customer490619
2022-03-31 14:51,선불기1,치킨카라아케 6pc,신용카드,결제완료,1,"4,500",customer751113
2022-03-31 12:52,선불기1,만두라면,신용카드,결제완료,1,"5,000",customer897964
2022-03-31 11:55,선불기1,크로플,신용카드,결제완료,1,"5,500",customer408718
2022-03-31 11:55,선불기1,초코머핀,신용카드,결제완료,1,"3,500",customer408718
2022-03-31 12:00,선불기2,새우볶음밥,신용카드,결제완료,1,"5,900",customer724529
2022-03-31 11:22,선불기1,단짠대패삼겹덮밥,신용카드,결제완료,1,"8,500",customer271499
2022-03-31 11:31,선불기1,아메리카노(ICE),신용카드,결제완료,1,"4,400",customer279438
2022-03-31 11:31,카운터,아메리카노(ICE),신용카드,판매취소,-1,"-4,400",
2022-03-31 11:21,선불기1,만두라면,현금,결제완료,1,"5,000",customer923103
2022-03-31 11:19,선불기1,라면,신용카드,결제완료,1,"4,000",customer751113
2022-03-31 11:20,선불기1,라면,신용카드,결제완료,1,"4,000",customer396942
2022-03-31 11:20,선불기1,(면)치즈추가,신용카드,결제완료,1,500,customer396942
2022-03-31 10:42,선불기2,아메리카노(ICE),신용카드,결제완료,1,"4,400",
2022-03-31 11:13,카운터,아메리카노(ICE),신용카드,판매취소,-1,"-4,400",
2022-03-31 10:23,선불기1,라면,신용카드,결제완료,1,"4,000",customer414283
2022-03-30 19:30,선불기1,감자튀김,신용카드,결제완료,1,"4,900",customer390928
2022-03-30 18:15,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer253742
2022-03-30 18:15,선불기1,짜장라면,신용카드,결제완료,1,"4,500",customer253742
2022-03-30 17:37,선불기1,감자튀김,신용카드,결제완료,1,"4,900",customer390928
2022-03-30 17:37,선불기1,단짠대패삼겹덮밥,신용카드,결제완료,1,"8,500",customer390928
2022-03-30 17:37,선불기1,라면,신용카드,결제완료,1,"4,000",customer390928
2022-03-30 00:56,카운터,소떡소떡,신용카드,결제완료,1,"3,000",
2022-03-29 18:55,선불기1,단짠대패삼겹덮밥,신용카드,결제완료,1,"8,500",customer976580
2022-03-29 18:33,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer467216
2022-03-29 18:34,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer983308
2022-03-29 18:35,선불기1,김치볶음밥,신용카드,결제완료,1,"5,900",customer286156
